BAGGING:

    - edge_colorlayout:
                1. J48             | Iter=10 | Accuracy=60.32%
22. StackA_SimpleLogistic_SimpleLogistic_PART_REPTree.txt | Accuracy=53.97%
23. StackA_JRip_NaiveBayes_SimpleLogistic_J48.txt      | Accuracy=53.44%
24. StackA_REPTree_IBk_REPTree_RandomForest.txt        | Accuracy=52.12%
25. StackA_REPTree_REPTree_RandomForest_RandomTree.txt | Accuracy=51.06%
26. StackA_RandomForest_SimpleLogistic_JRip_PART.txt   | Accuracy=51.06%
27. StackA_REPTree_SMO_SimpleLogistic_RandomForest.txt | Accuracy=51.06%
28. StackA_JRip_SimpleLogistic_IBk_RandomForest.txt    | Accuracy=50.53%
29. StackA_REPTree_NaiveBayes_SimpleLogistic_REPTree.txt | Accuracy=50.26%
30. StackA_JRip_REPTree_RandomForest_RandomTree.txt    | Accuracy=49.74%
31. StackA_REPTree_SMO_SimpleLogistic_JRip.txt         | Accuracy=48.15%
32. StackA_SimpleLogistic_JRip_PART_RandomTree.txt     | Accuracy=46.83%
33. StackA_JRip_JRip_J48_REPTree.txt                   | Accuracy=46.30%
34. StackA_SMO_SMO_PART_RandomTree.txt                 | Accuracy=45.77%
35. StackA_REPTree_IBk_PART_REPTree.txt                | Accuracy=44.71%
36. StackA_JRip_JRip_J48_RandomTree.txt                | Accuracy=43.92%
37. StackA_JRip_IBk_PART_REPTree.txt                   | Accuracy=42.59%
38. StackA_REPTree_SMO_JRip_J48.txt                    | Accuracy=41.27%

    - kmeans_autocolor:
     1. StackA_RandomForest_SimpleLogistic_J48_REPTree.txt | Accuracy=62.96%
 2. StackA_SMO_SimpleLogistic_REPTree_RandomForest.txt | Accuracy=61.38%
 3. StackA_SMO_SimpleLogistic_IBk_RandomForest.txt     | Accuracy=60.58%
 4. StackA_SimpleLogistic_JRip_J48_REPTree.txt         | Accuracy=60.32%
 5. StackA_RandomForest_J48_REPTree_RandomForest.txt   | Accuracy=60.05%
 6. StackA_SimpleLogistic_NaiveBayes_RandomForest_RandomTree.txt | Accuracy=59.79%
 7. StackA_SMO_REPTree_RandomForest_RandomTree.txt     | Accuracy=59.79%
 8. StackA_RandomForest_SimpleLogistic_IBk_REPTree.txt | Accuracy=59.79%
 9. StackA_RandomForest_JRip_PART_RandomForest.txt     | Accuracy=59.79%
10. StackA_SMO_NaiveBayes_SimpleLogistic_J48.txt       | Accuracy=59.52%
11. StackA_SMO_JRip_J48_REPTree.txt                    | Accuracy=59.52%
12. StackA_SimpleLogistic_SimpleLogistic_IBk_RandomForest.txt | Accuracy=59.52%
13. StackA_RandomForest_JRip_J48_RandomForest.txt      | Accuracy=59.52%
14. StackA_RandomForest_SimpleLogistic_JRip_PART.txt   | Accuracy=59.52%
15. StackA_SimpleLogistic_PART_J48_RandomForest.txt    | Accuracy=58.73%
16. StackA_SimpleLogistic_JRip_PART_RandomTree.txt     | Accuracy=58.73%
17. StackA_SMO_IBk_REPTree_RandomForest.txt            | Accuracy=58.73%
18. StackA_SimpleLogistic_SimpleLogistic_PART_REPTree.txt | Accuracy=58.47%
19. StackA_RandomForest_PART_REPTree_RandomForest.txt  | Accuracy=58.20%
20. StackA_JRip_SimpleLogistic_IBk_RandomForest.txt    | Accuracy=57.94%
21. StackA_RandomForest_JRip_J48_REPTree.txt           | Accuracy=57.94%
22. StackA_SMO_IBk_J48_RandomForest.txt                | Accuracy=57.14%
23. StackA_SMO_SMO_PART_RandomTree.txt                 | Accuracy=56.88%
24. StackA_REPTree_SMO_SimpleLogistic_JRip.txt         | Accuracy=56.88%
25. StackA_JRip_NaiveBayes_SimpleLogistic_J48.txt      | Accuracy=56.08%
26. StackA_REPTree_IBk_REPTree_RandomForest.txt        | Accuracy=55.82%
27. StackA_REPTree_NaiveBayes_J48_RandomForest.txt     | Accuracy=55.56%
28. StackA_JRip_IBk_PART_REPTree.txt                   | Accuracy=55.56%
29. StackA_JRip_REPTree_RandomForest_RandomTree.txt    | Accuracy=55.03%
30. StackA_RandomForest_NaiveBayes_JRip_J48.txt        | Accuracy=55.03%
31. StackA_REPTree_IBk_PART_REPTree.txt                | Accuracy=54.23%
32. StackA_REPTree_SMO_JRip_J48.txt                    | Accuracy=54.23%
33. StackA_REPTree_SMO_SimpleLogistic_RandomForest.txt | Accuracy=53.97%
34. StackA_REPTree_REPTree_RandomForest_RandomTree.txt | Accuracy=53.17%
35. StackA_REPTree_NaiveBayes_SimpleLogistic_REPTree.txt | Accuracy=52.65%
36. StackA_JRip_JRip_J48_REPTree.txt                   | Accuracy=51.06%
37. StackA_JRip_IBk_REPTree_RandomForest.txt           | Accuracy=50.26%
38. StackA_JRip_JRip_J48_RandomTree.txt                | Accuracy=48.68%

    -kmeans_jpeg:

1. StackA_SimpleLogistic_NaiveBayes_RandomForest_RandomTree.txt | Accuracy=74.60%
 2. StackA_RandomForest_SimpleLogistic_IBk_REPTree.txt | Accuracy=74.60%
 3. StackA_SimpleLogistic_SimpleLogistic_IBk_RandomForest.txt | Accuracy=73.55%
 4. StackA_SimpleLogistic_PART_J48_RandomForest.txt    | Accuracy=73.28%
 5. StackA_SMO_SimpleLogistic_REPTree_RandomForest.txt | Accuracy=73.28%
 6. StackA_SMO_SimpleLogistic_IBk_RandomForest.txt     | Accuracy=72.75%
 7. StackA_JRip_SimpleLogistic_IBk_RandomForest.txt    | Accuracy=71.96%
 8. StackA_SimpleLogistic_SimpleLogistic_PART_REPTree.txt | Accuracy=71.69%
 9. StackA_RandomForest_JRip_J48_RandomForest.txt      | Accuracy=71.69%
10. StackA_SMO_IBk_J48_RandomForest.txt                | Accuracy=71.43%
11. StackA_RandomForest_JRip_PART_RandomForest.txt     | Accuracy=71.43%
12. StackA_RandomForest_SimpleLogistic_J48_REPTree.txt | Accuracy=71.16%
13. StackA_RandomForest_J48_REPTree_RandomForest.txt   | Accuracy=71.16%
14. StackA_REPTree_SMO_SimpleLogistic_RandomForest.txt | Accuracy=70.63%
15. StackA_SMO_NaiveBayes_SimpleLogistic_J48.txt       | Accuracy=70.37%
16. StackA_RandomForest_SimpleLogistic_JRip_PART.txt   | Accuracy=70.37%
17. StackA_JRip_IBk_REPTree_RandomForest.txt           | Accuracy=69.58%
18. StackA_SMO_IBk_REPTree_RandomForest.txt            | Accuracy=69.31%
19. StackA_REPTree_NaiveBayes_J48_RandomForest.txt     | Accuracy=69.05%
20. StackA_RandomForest_PART_REPTree_RandomForest.txt  | Accuracy=68.78%
21. StackA_JRip_REPTree_RandomForest_RandomTree.txt    | Accuracy=68.78%
22. StackA_SMO_REPTree_RandomForest_RandomTree.txt     | Accuracy=67.99%
23. StackA_REPTree_REPTree_RandomForest_RandomTree.txt | Accuracy=67.99%
24. StackA_REPTree_IBk_REPTree_RandomForest.txt        | Accuracy=67.99%
25. StackA_RandomForest_NaiveBayes_JRip_J48.txt        | Accuracy=66.93%
26. StackA_SMO_JRip_J48_REPTree.txt                    | Accuracy=66.67%
27. StackA_SimpleLogistic_JRip_J48_REPTree.txt         | Accuracy=66.14%
28. StackA_RandomForest_JRip_J48_REPTree.txt           | Accuracy=66.14%
29. StackA_REPTree_NaiveBayes_SimpleLogistic_REPTree.txt | Accuracy=65.87%
30. StackA_SMO_SMO_PART_RandomTree.txt                 | Accuracy=65.34%
31. StackA_REPTree_SMO_SimpleLogistic_JRip.txt         | Accuracy=64.81%
32. StackA_JRip_NaiveBayes_SimpleLogistic_J48.txt      | Accuracy=64.55%
33. StackA_SimpleLogistic_JRip_PART_RandomTree.txt     | Accuracy=63.49%
34. StackA_JRip_IBk_PART_REPTree.txt                   | Accuracy=62.17%
35. StackA_JRip_JRip_J48_REPTree.txt                   | Accuracy=62.17%
36. StackA_REPTree_IBk_PART_REPTree.txt                | Accuracy=61.90%
37. StackA_REPTree_SMO_JRip_J48.txt                    | Accuracy=60.32%
38. StackA_JRip_JRip_J48_RandomTree.txt                | Accuracy=58.99%


    - original_autocolor:

 1. StackA_SMO_SimpleLogistic_IBk_RandomForest.txt     | Accuracy=87.83%
 2. StackA_RandomForest_SimpleLogistic_IBk_REPTree.txt | Accuracy=87.04%
 3. StackA_SMO_IBk_J48_RandomForest.txt                | Accuracy=86.77%
 4. StackA_SimpleLogistic_SimpleLogistic_IBk_RandomForest.txt | Accuracy=86.51%
 5. StackA_JRip_SimpleLogistic_IBk_RandomForest.txt    | Accuracy=85.98%
 6. StackA_SMO_IBk_REPTree_RandomForest.txt            | Accuracy=85.98%
 7. StackA_RandomForest_PART_REPTree_RandomForest.txt  | Accuracy=85.71%
 8. StackA_SimpleLogistic_NaiveBayes_RandomForest_RandomTree.txt | Accuracy=85.45%
 9. StackA_JRip_IBk_PART_REPTree.txt                   | Accuracy=85.19%
10. StackA_RandomForest_J48_REPTree_RandomForest.txt   | Accuracy=85.19%
11. StackA_SMO_SimpleLogistic_REPTree_RandomForest.txt | Accuracy=85.19%
12. StackA_REPTree_IBk_PART_REPTree.txt                | Accuracy=84.92%
13. StackA_SimpleLogistic_PART_J48_RandomForest.txt    | Accuracy=84.13%
14. StackA_JRip_IBk_REPTree_RandomForest.txt           | Accuracy=84.13%
15. StackA_RandomForest_JRip_PART_RandomForest.txt     | Accuracy=83.86%
16. StackA_REPTree_IBk_REPTree_RandomForest.txt        | Accuracy=83.86%
17. StackA_JRip_REPTree_RandomForest_RandomTree.txt    | Accuracy=83.60%
18. StackA_RandomForest_JRip_J48_RandomForest.txt      | Accuracy=83.60%
19. StackA_REPTree_REPTree_RandomForest_RandomTree.txt | Accuracy=82.54%
20. StackA_SimpleLogistic_SimpleLogistic_PART_REPTree.txt | Accuracy=82.54%
21. StackA_REPTree_SMO_JRip_J48.txt                    | Accuracy=82.01%
22. StackA_RandomForest_SimpleLogistic_JRip_PART.txt   | Accuracy=81.48%
23. StackA_SMO_REPTree_RandomForest_RandomTree.txt     | Accuracy=80.69%
24. StackA_REPTree_NaiveBayes_J48_RandomForest.txt     | Accuracy=80.16%
25. StackA_RandomForest_SimpleLogistic_J48_REPTree.txt | Accuracy=79.63%
26. StackA_REPTree_NaiveBayes_SimpleLogistic_REPTree.txt | Accuracy=79.37%
27. StackA_SMO_NaiveBayes_SimpleLogistic_J48.txt       | Accuracy=78.84%
28. StackA_REPTree_SMO_SimpleLogistic_JRip.txt         | Accuracy=78.57%
29. StackA_REPTree_SMO_SimpleLogistic_RandomForest.txt | Accuracy=77.78%
30. StackA_SMO_SMO_PART_RandomTree.txt                 | Accuracy=76.45%
31. StackA_JRip_NaiveBayes_SimpleLogistic_J48.txt      | Accuracy=74.07%
32. StackA_RandomForest_NaiveBayes_JRip_J48.txt        | Accuracy=72.49%
33. StackA_SimpleLogistic_JRip_PART_RandomTree.txt     | Accuracy=70.11%
34. StackA_SimpleLogistic_JRip_J48_REPTree.txt         | Accuracy=66.40%
35. StackA_SMO_JRip_J48_REPTree.txt                    | Accuracy=65.34%
36. StackA_RandomForest_JRip_J48_REPTree.txt           | Accuracy=63.49%
37. StackA_JRip_JRip_J48_RandomTree.txt                | Accuracy=63.23%
38. StackA_JRip_JRip_J48_REPTree.txt                   | Accuracy=61.11%

STACKING B:

    - edge_colorlayout:
 1. StackB_RandomForest_NaiveBayes_SMO_SimpleLogistic_IBk_RandomForest.txt | Accuracy=63.23%
 2. StackB_RandomForest_NaiveBayes_SimpleLogistic_IBk_REPTree_RandomTree.txt | Accuracy=62.43%
 3. StackB_SimpleLogistic_NaiveBayes_SimpleLogistic_PART_REPTree_RandomTree.txt | Accuracy=61.90%
 4. StackB_RandomForest_SMO_SimpleLogistic_JRip_J48_RandomForest.txt | Accuracy=61.11%
 5. StackB_RandomForest_SMO_PART_J48_REPTree_RandomForest.txt | Accuracy=61.11%
 6. StackB_RandomForest_NaiveBayes_SimpleLogistic_IBk_JRip_REPTree.txt | Accuracy=61.11%
 7. StackB_RandomForest_SimpleLogistic_IBk_PART_REPTree_RandomForest.txt | Accuracy=60.05%
 8. StackB_SimpleLogistic_NaiveBayes_SMO_SimpleLogistic_RandomForest_RandomTree.txt | Accuracy=59.79%
 9. StackB_RandomForest_SMO_JRip_J48_RandomForest_RandomTree.txt | Accuracy=59.79%
10. StackB_SimpleLogistic_NaiveBayes_SimpleLogistic_IBk_J48_REPTree.txt | Accuracy=59.52%
11. StackB_SMO_NaiveBayes_IBk_J48_REPTree_RandomTree.txt | Accuracy=58.73%
12. StackB_SMO_NaiveBayes_IBk_JRip_REPTree_RandomTree.txt | Accuracy=58.47%
13. StackB_RandomForest_SimpleLogistic_IBk_JRip_J48_RandomForest.txt | Accuracy=57.94%
14. StackB_SMO_NaiveBayes_SimpleLogistic_IBk_J48_RandomTree.txt | Accuracy=57.67%
15. StackB_RandomForest_IBk_JRip_J48_RandomForest_RandomTree.txt | Accuracy=57.41%
16. StackB_SMO_NaiveBayes_IBk_REPTree_RandomForest_RandomTree.txt | Accuracy=57.41%
17. StackB_JRip_NaiveBayes_SMO_PART_J48_REPTree.txt    | Accuracy=55.03%
18. StackB_RandomForest_SMO_SimpleLogistic_IBk_J48_RandomTree.txt | Accuracy=55.03%
19. StackB_SMO_PART_J48_REPTree_RandomForest_RandomTree.txt | Accuracy=54.76%
20. StackB_JRip_SMO_SimpleLogistic_IBk_JRip_RandomForest.txt | Accuracy=54.50%
21. StackB_REPTree_NaiveBayes_SMO_JRip_J48_RandomForest.txt | Accuracy=53.97%
22. StackB_REPTree_NaiveBayes_SimpleLogistic_PART_J48_REPTree.txt | Accuracy=53.70%
23. StackB_JRip_NaiveBayes_IBk_JRip_PART_REPTree.txt   | Accuracy=53.17%
24. StackB_JRip_NaiveBayes_SMO_SimpleLogistic_JRip_RandomTree.txt | Accuracy=51.85%
25. StackB_REPTree_NaiveBayes_SMO_JRip_PART_REPTree.txt | Accuracy=51.85%
26. StackB_JRip_NaiveBayes_SimpleLogistic_PART_REPTree_RandomForest.txt | Accuracy=51.59%
27. StackB_REPTree_SMO_SimpleLogistic_IBk_RandomForest_RandomTree.txt | Accuracy=50.00%
28. StackB_REPTree_SimpleLogistic_IBk_JRip_J48_REPTree.txt | Accuracy=46.83%
29. StackB_REPTree_SMO_IBk_PART_J48_RandomTree.txt     | Accuracy=46.83%
30. StackB_JRip_SMO_JRip_PART_REPTree_RandomTree.txt   | Accuracy=44.18%

    - kmeans_autocolor:
 1. StackB_RandomForest_NaiveBayes_SimpleLogistic_IBk_JRip_REPTree.txt | Accuracy=65.34%
